#
# $Id: adxectivos.txt,v 1.4 2007/10/03 07:03:01 fmendez Exp $
# $Name:  $
#	
aaronita,M,S
aaronitas,M,P,aaronita
aarónica,F,S,aarónico
aarónicas,F,P,aarónico
aarónico,M,S,aarónico
aarónicos,M,P,aarónico
abacal,A,S
abacalera,F,S,abacalero
abacaleras,F,P,abacalero
abacalero,M,S,abacalero
abacaleros,M,P,abacalero
abacales,A,P,abacal
abacial,A,S,abacial
abaciales,A,P,abacial
abadenga,F,S,abadengo
abadengas,F,P,abadengo
abadengo,M,S,abadengo
abadengos,M,P,abadengo
abadí,A,S,abadí
abadíes,A,P,abadí
abajeña,F,S,abajeño
abajeñas,F,P,abajeño
abajeño,M,S,abajeño
abajeños,M,P,abajeño
abalaustrada,F,S,abalaustrado
abalaustradas,F,P,abalaustrado
abalaustrado,M,S,abalaustrado
abalaustrados,M,P,abalaustrado
abanderizador,M,S,abanderizador
abanderizadora,F,S,abanderizador
abanderizadoras,F,P,abanderizador
abanderizadores,M,P,abanderizador
abandonada,F,S,abandonado
abandonadas,F,P,abandonado
abandonado,M,S,abandonado
abandonados,M,P,abandonado
abandonista,A,S,abanto
abandonistas,A,P,abanto
abanto,M,S,abanto
abantos,M,P,abanto
abarcable,A,S,abarcable
abarcables,A,P,abarcable
abarcada,F,S
abarcadas,F,P
abarcado,M,S
abarcador,M,S,abarcador
abarcadora,F,S,abarcador
abarcadoras,F,P,abarcador
abarcadores,M,P,abarcador
abarcados,M,P
abaritonada,F,S,abaritonado
abaritonadas,F,P,abaritonado
abaritonado,M,S,abaritonado
abaritonados,M,P,abaritonado
abarquillada,F,S,abarquillado
abarquilladas,F,P,abarquillado
abarquillado,M,S,abarquillado
abarquillados,M,P,abarquillado
abarrada,F,S,abarrado
abarradas,F,P,abarrado
abarrado,M,S,abarrado
abarrados,M,P,abarrado
abarrajada,F,S,abarrajado
abarrajadas,F,P,abarrajado
abarrajado,M,S,abarrajado
abarrajados,M,P,abarrajado
abastante,A,S
abastantes,A,P
abastecedor,M,S,abastecedor
abastecedora,F,S,abastecedor
abastecedoras,F,P,abastecedor
abastecedores,M,P,abastecedor
abasí,A,S
abasíes,A,P,abasí
abatanada,F,S,abatanado
abatanadas,F,P,abatanado
abatanado,M,S,abatanado
abatanados,M,P,abatanado
abatible,A,S,abatible
abatibles,A,P,abatible
abatida,F,S,abatido
abatidas,F,P,abatido
abatido,M,S,abatido
abatidos,M,P,abatido
abayada,F,S,abayado
abayadas,F,P,abayado
abayado,M,S,abayado
abayados,M,P,abayado
abderitana,F,S,abderitano
abderitanas,F,P,abderitano
abderitano,M,S,abderitano
